condition,binSize,bin,binStart,binEnd,binCenter,n_trials,n_error,ER_mean,ER_se,MT_n,MT_mean,MT_se,TPe_n,TPe_mean,TPe_se,TPe_with_deviation_n,TPe_with_deviation_mean,TPe_with_deviation_se,condition_label
width_wide,10,1,1,10,5.5,10,5,50.0,16.666666666666664,9,0.9042222222222223,0.0730659477188203,9,41.62734202122469,12.78836730135545,10,39.609429679328194,11.614897365326996,Wide-width A1000 W50 ID20 / C1
width_wide,10,2,11,20,15.5,10,5,50.0,16.666666666666664,9,0.7226666666666667,0.020608115984835782,9,45.807827413582885,9.484180377895905,9,45.807827413582885,9.484180377895905,Wide-width A1000 W50 ID20 / C1
width_wide,10,3,21,30,25.5,10,4,40.0,16.32993161855452,10,0.8126,0.02932962097720778,10,48.36856208168217,6.01910094655135,10,48.36856208168217,6.01910094655135,Wide-width A1000 W50 ID20 / C1
width_wide,10,4,31,40,35.5,10,5,50.0,16.666666666666664,8,0.870625,0.08958215253928334,8,57.33832916978609,16.239772540226937,8,57.33832916978609,16.239772540226937,Wide-width A1000 W50 ID20 / C1
width_wide,10,5,41,50,45.5,10,6,60.0,16.32993161855452,9,0.838,0.0430196983304677,9,41.176360966010556,8.533091097159899,9,41.176360966010556,8.533091097159899,Wide-width A1000 W50 ID20 / C1
width_wide,10,6,51,60,55.5,10,5,50.0,16.666666666666664,9,0.9617777777777778,0.05773016200339535,9,42.56937106155016,9.672633617130694,9,42.56937106155016,9.672633617130694,Wide-width A1000 W50 ID20 / C1
width_wide,10,7,61,70,65.5,10,6,60.0,16.32993161855452,9,0.8638888888888889,0.05914211801632394,9,41.94886752216874,8.289527053325015,9,41.94886752216874,8.289527053325015,Wide-width A1000 W50 ID20 / C1
width_wide,10,8,71,80,75.5,10,7,70.0,15.275252316519467,7,0.973,0.05965695584717997,7,20.322222051204246,4.651723225914341,8,18.188902756420077,4.5585028179635465,Wide-width A1000 W50 ID20 / C1
width_wide,10,9,81,90,85.5,10,1,10.0,10.0,9,0.9527777777777777,0.02820548497572856,9,52.215844164302005,8.515667491649777,9,52.215844164302005,8.515667491649777,Wide-width A1000 W50 ID20 / C1
width_wide,10,10,91,100,95.5,10,5,50.0,16.666666666666664,8,0.858,0.08286499347044651,8,50.70888042500805,12.398879735618014,8,50.70888042500805,12.398879735618014,Wide-width A1000 W50 ID20 / C1
width_wide,10,11,101,110,105.5,10,3,30.0,15.275252316519467,10,0.8572,0.050969664180438405,10,40.81985991500605,7.8802932885862536,10,40.81985991500605,7.8802932885862536,Wide-width A1000 W50 ID20 / C1
width_wide,10,12,111,120,115.5,10,7,70.0,15.275252316519463,9,0.8238888888888889,0.02932738786548071,9,33.448264076339306,4.713146221894729,9,33.448264076339306,4.713146221894729,Wide-width A1000 W50 ID20 / C1
width_wide,10,13,121,130,125.5,10,6,60.0,16.32993161855452,9,0.7041111111111111,0.028047303516878435,9,52.13780594739161,7.944291758132068,10,47.246395839430264,8.626430900142102,Wide-width A1000 W50 ID20 / C1
width_wide,10,14,131,140,135.5,10,5,50.0,16.666666666666664,10,0.7211000000000001,0.03774459490370037,10,39.00093245285215,6.661323051802175,10,39.00093245285215,6.661323051802175,Wide-width A1000 W50 ID20 / C1
width_wide,10,15,141,150,145.5,10,7,70.0,15.275252316519463,9,0.7256666666666667,0.01714642819948225,9,41.48519713485492,5.361256678434945,9,41.48519713485492,5.361256678434945,Wide-width A1000 W50 ID20 / C1
width_wide,10,16,151,160,155.5,10,5,50.0,16.666666666666664,9,0.7477777777777779,0.03459197794679577,9,44.93246509195053,10.779977425404589,9,44.93246509195053,10.779977425404589,Wide-width A1000 W50 ID20 / C1
width_wide,10,17,161,170,165.5,10,5,50.0,16.666666666666664,9,0.7431111111111111,0.04084436736783926,9,46.75919180623564,9.96033627637315,9,46.75919180623564,9.96033627637315,Wide-width A1000 W50 ID20 / C1
width_wide,10,18,171,180,175.5,10,7,70.0,15.275252316519463,8,0.6915,0.046065558873042166,8,41.4988601372977,7.3249284166606214,8,41.4988601372977,7.3249284166606214,Wide-width A1000 W50 ID20 / C1
width_wide,10,19,181,190,185.5,10,6,60.0,16.32993161855452,5,0.6679999999999999,0.05825633012815002,5,58.93314221559776,21.44176480920347,5,58.93314221559776,21.44176480920347,Wide-width A1000 W50 ID20 / C1
width_wide,10,20,191,200,195.5,10,4,40.0,16.32993161855452,9,0.732111111111111,0.031026621384996164,9,46.831221030228434,5.469955684509302,9,46.831221030228434,5.469955684509302,Wide-width A1000 W50 ID20 / C1
width_wide,10,21,201,210,205.5,10,6,60.0,16.32993161855452,10,0.7247,0.03266192142405451,10,54.40296928512763,8.266079777637156,10,54.40296928512763,8.266079777637156,Wide-width A1000 W50 ID20 / C1
width_wide,10,22,211,220,215.5,10,1,10.0,10.0,10,0.6979,0.014003531300671584,10,65.55801061131996,8.547479084145953,10,65.55801061131996,8.547479084145953,Wide-width A1000 W50 ID20 / C1
width_wide,10,23,221,230,225.5,10,7,70.0,15.275252316519467,8,0.731125,0.06200962986850165,8,34.74663677712837,6.097464277396846,8,34.74663677712837,6.097464277396846,Wide-width A1000 W50 ID20 / C1
width_wide,10,24,231,240,235.5,10,7,70.0,15.275252316519467,4,0.5295,0.028108421039491585,4,56.912170136495284,15.79669177727567,4,56.912170136495284,15.79669177727567,Wide-width A1000 W50 ID20 / C1
width_wide,10,25,241,250,245.5,10,7,70.0,15.275252316519463,5,0.5544,0.05813312308830483,5,80.91595731466488,27.400306399688695,5,80.91595731466488,27.400306399688695,Wide-width A1000 W50 ID20 / C1
width_wide,10,26,251,260,255.5,10,5,50.0,16.666666666666664,7,0.5608571428571428,0.06239140225087052,7,62.68598922933911,11.103179050894303,7,62.68598922933911,11.103179050894303,Wide-width A1000 W50 ID20 / C1
width_wide,10,27,261,270,265.5,10,7,70.0,15.275252316519463,6,0.32666666666666666,0.019262513969999985,6,93.13734292657857,10.877547599808093,6,93.13734292657857,10.877547599808093,Wide-width A1000 W50 ID20 / C1
width_wide,10,28,271,280,275.5,10,10,100.0,0.0,7,0.6165714285714285,0.054151839938338955,7,34.37988590360499,6.543041638148406,7,34.37988590360499,6.543041638148406,Wide-width A1000 W50 ID20 / C1
width_wide,10,29,281,290,285.5,10,9,90.0,10.0,6,0.5721666666666666,0.03276117281851254,6,33.48662469416941,7.101915231805522,6,33.48662469416941,7.101915231805522,Wide-width A1000 W50 ID20 / C1
width_wide,10,30,291,300,295.5,10,9,90.0,10.0,7,0.6395714285714286,0.03761386341614532,7,30.912133574936863,6.230728726199177,7,30.912133574936863,6.230728726199177,Wide-width A1000 W50 ID20 / C1
width_wide,10,31,301,310,305.5,10,8,80.0,13.333333333333334,9,0.6361111111111111,0.021295829302448225,9,38.01041401102295,6.719672267885172,9,38.01041401102295,6.719672267885172,Wide-width A1000 W50 ID20 / C1
width_wide,10,32,311,320,315.5,10,9,90.0,10.0,8,0.702125,0.09972004338933789,8,32.4014750122776,5.296011800366587,8,32.4014750122776,5.296011800366587,Wide-width A1000 W50 ID20 / C1
width_wide,10,33,321,330,325.5,5,5,100.0,0.0,3,1.25,0.3166896482888782,3,19.903664125435675,5.821282688399716,3,19.903664125435675,5.821282688399716,Wide-width A1000 W50 ID20 / C1
