metric,param,contrast,mean,ci_low,ci_high,p_two_sided_approx
MT_success,a,width_wide_minus_width_narrow,-0.8597472022342739,-0.8597472022342738,-0.8597472022342738,0.0
MT_success,a,length_long_minus_length_short,0.8508496620210888,0.8508496620210885,0.8508496620210885,0.0
MT_success,a,abs_width_effect_minus_abs_length_effect,0.00889754021318534,0.00889754021318534,0.00889754021318534,0.0
MT_success,a,same_ID20_width_wide_minus_length_short,-0.7004973896362462,-0.7004973896362462,-0.7004973896362462,0.0
MT_success,a,same_ID50_width_narrow_minus_length_long,-0.691599849423061,-0.6915998494230609,-0.6915998494230609,0.0
MT_success,a,ID20_mean_minus_ID50_mean,-0.855298432127681,-0.8552984321276811,-0.8552984321276811,0.0
MT_success,b,width_wide_minus_width_narrow,-0.2318139480401301,-0.23181394804013009,-0.23181394804013009,0.0
MT_success,b,length_long_minus_length_short,-0.006920371019756624,-0.006920371019756625,-0.006920371019756625,0.0
MT_success,b,abs_width_effect_minus_abs_length_effect,0.22489357702037346,0.22489357702037346,0.22489357702037346,0.0
MT_success,b,same_ID20_width_wide_minus_length_short,-0.03552430535874005,-0.035524305358740044,-0.035524305358740044,0.0
MT_success,b,same_ID50_width_narrow_minus_length_long,0.20321001370114672,0.20321001370114666,0.20321001370114666,0.0
MT_success,b,ID20_mean_minus_ID50_mean,-0.11244678851018673,-0.11244678851018672,-0.11244678851018672,0.0
MT_success,c,width_wide_minus_width_narrow,-0.4807481152393175,-0.4807481152393175,-0.4807481152393175,0.0
MT_success,c,length_long_minus_length_short,-2.200131819265865e-16,-2.200131819265865e-16,-2.200131819265865e-16,0.0
MT_success,c,abs_width_effect_minus_abs_length_effect,0.4807481152393173,0.48074811523931726,0.48074811523931726,0.0
MT_success,c,same_ID20_width_wide_minus_length_short,0.6081947668271256,0.6081947668271256,0.6081947668271256,0.0
MT_success,c,same_ID50_width_narrow_minus_length_long,1.0889428820664435,1.0889428820664433,1.0889428820664433,0.0
MT_success,c,ID20_mean_minus_ID50_mean,-0.24037405761965866,-0.24037405761965863,-0.24037405761965863,0.0
inv_TPe,a,width_wide_minus_width_narrow,-0.012189228063992669,-0.012189228063992669,-0.012189228063992669,0.0
inv_TPe,a,length_long_minus_length_short,-0.025418895664392475,-0.02541889566439247,-0.02541889566439247,0.0
inv_TPe,a,abs_width_effect_minus_abs_length_effect,-0.013229667600399802,-0.0132296676003998,-0.0132296676003998,0.0
inv_TPe,a,same_ID20_width_wide_minus_length_short,0.005504302364033674,0.005504302364033674,0.005504302364033674,0.0
inv_TPe,a,same_ID50_width_narrow_minus_length_long,0.04311242609241882,0.04311242609241881,0.04311242609241881,0.0
inv_TPe,a,ID20_mean_minus_ID50_mean,0.006614833800199907,0.006614833800199907,0.006614833800199907,0.0
inv_TPe,b,width_wide_minus_width_narrow,-0.03220002906450187,-0.03220002906450185,-0.03220002906450185,0.0
inv_TPe,b,length_long_minus_length_short,-0.34094558889794213,-0.3409455888979422,-0.3409455888979422,0.0
inv_TPe,b,abs_width_effect_minus_abs_length_effect,-0.30874555983344026,-0.3087455598334403,-0.3087455598334403,0.0
inv_TPe,b,same_ID20_width_wide_minus_length_short,-0.2747922698591472,-0.2747922698591472,-0.2747922698591472,0.0
inv_TPe,b,same_ID50_width_narrow_minus_length_long,0.09835334810329681,0.09835334810329682,0.09835334810329682,0.0
inv_TPe,b,ID20_mean_minus_ID50_mean,0.15437277991672013,0.15437277991672016,0.15437277991672016,0.0
inv_TPe,c,width_wide_minus_width_narrow,9.550435835752521e-10,9.550435835752523e-10,9.550435835752523e-10,0.0
inv_TPe,c,length_long_minus_length_short,0.00968454711061778,0.009684547110617777,0.009684547110617777,0.0
inv_TPe,c,abs_width_effect_minus_abs_length_effect,-0.009684546155574193,-0.009684546155574193,-0.009684546155574193,0.0
inv_TPe,c,same_ID20_width_wide_minus_length_short,-0.013334703640599304,-0.013334703640599301,-0.013334703640599301,0.0
inv_TPe,c,same_ID50_width_narrow_minus_length_long,-0.02301925170626066,-0.023019251706260662,-0.023019251706260662,0.0
inv_TPe,c,ID20_mean_minus_ID50_mean,-0.0048422730777870964,-0.0048422730777870964,-0.0048422730777870964,0.0
inv_TPe_with_deviation,a,width_wide_minus_width_narrow,-0.011845005158975339,-0.011845005158975339,-0.011845005158975339,0.0
inv_TPe_with_deviation,a,length_long_minus_length_short,-0.025345105191904575,-0.025345105191904572,-0.025345105191904572,0.0
inv_TPe_with_deviation,a,abs_width_effect_minus_abs_length_effect,-0.013500100032929232,-0.013500100032929233,-0.013500100032929233,0.0
inv_TPe_with_deviation,a,same_ID20_width_wide_minus_length_short,0.005504302364033674,0.005504302364033674,0.005504302364033674,0.0
inv_TPe_with_deviation,a,same_ID50_width_narrow_minus_length_long,0.04269441271491359,0.04269441271491359,0.04269441271491359,0.0
inv_TPe_with_deviation,a,ID20_mean_minus_ID50_mean,0.006750050016464621,0.006750050016464622,0.006750050016464622,0.0
inv_TPe_with_deviation,b,width_wide_minus_width_narrow,-0.03030266569382642,-0.03030266569382642,-0.03030266569382642,0.0
inv_TPe_with_deviation,b,length_long_minus_length_short,-0.3409455889227049,-0.34094558892270493,-0.34094558892270493,0.0
inv_TPe_with_deviation,b,abs_width_effect_minus_abs_length_effect,-0.3106429232288786,-0.31064292322887854,-0.31064292322887854,0.0
inv_TPe_with_deviation,b,same_ID20_width_wide_minus_length_short,-0.2747922698591472,-0.2747922698591472,-0.2747922698591472,0.0
inv_TPe_with_deviation,b,same_ID50_width_narrow_minus_length_long,0.09645598475738416,0.09645598475738418,0.09645598475738418,0.0
inv_TPe_with_deviation,b,ID20_mean_minus_ID50_mean,0.1553214616144393,0.15532146161443927,0.15532146161443927,0.0
inv_TPe_with_deviation,c,width_wide_minus_width_narrow,9.461958566446937e-10,9.46195856644694e-10,9.46195856644694e-10,0.0
inv_TPe_with_deviation,c,length_long_minus_length_short,0.009720536481985781,0.00972053648198578,0.00972053648198578,0.0
inv_TPe_with_deviation,c,abs_width_effect_minus_abs_length_effect,-0.009720535535789923,-0.009720535535789923,-0.009720535535789923,0.0
inv_TPe_with_deviation,c,same_ID20_width_wide_minus_length_short,-0.013334703640599304,-0.013334703640599301,-0.013334703640599301,0.0
inv_TPe_with_deviation,c,same_ID50_width_narrow_minus_length_long,-0.023055241068780933,-0.023055241068780936,-0.023055241068780936,0.0
inv_TPe_with_deviation,c,ID20_mean_minus_ID50_mean,-0.004860267767894962,-0.004860267767894962,-0.004860267767894962,0.0
ER_block20,a,width_wide_minus_width_narrow,-0.2826947847234744,-0.2826947847234744,-0.2826947847234744,0.0
ER_block20,a,length_long_minus_length_short,-0.6505182272487762,-0.6505182272487762,-0.6505182272487762,0.0
ER_block20,a,abs_width_effect_minus_abs_length_effect,-0.36782344252530175,-0.36782344252530175,-0.36782344252530175,0.0
ER_block20,a,same_ID20_width_wide_minus_length_short,-0.0952394299348015,-0.0952394299348015,-0.0952394299348015,0.0
ER_block20,a,same_ID50_width_narrow_minus_length_long,0.8379735820374492,0.8379735820374491,0.8379735820374491,0.0
ER_block20,a,ID20_mean_minus_ID50_mean,0.18391172126265073,0.18391172126265076,0.18391172126265076,0.0
ER_block20,b,width_wide_minus_width_narrow,0.409800082419104,0.4098000824191041,0.4098000824191041,0.0
ER_block20,b,length_long_minus_length_short,-0.10625094727465469,-0.1062509472746547,-0.1062509472746547,0.0
ER_block20,b,abs_width_effect_minus_abs_length_effect,0.3035491351444493,0.30354913514444937,0.30354913514444937,0.0
ER_block20,b,same_ID20_width_wide_minus_length_short,0.32258271521679266,0.3225827152167927,0.3225827152167927,0.0
ER_block20,b,same_ID50_width_narrow_minus_length_long,0.01903358007234329,0.019033580072343285,0.019033580072343285,0.0
ER_block20,b,ID20_mean_minus_ID50_mean,0.25802551484687936,0.2580255148468794,0.2580255148468794,0.0
ER_block20,c,width_wide_minus_width_narrow,0.4999999990647697,0.4999999990647697,0.4999999990647697,0.0
ER_block20,c,length_long_minus_length_short,0.7342976493872424,0.7342976493872423,0.7342976493872423,0.0
ER_block20,c,abs_width_effect_minus_abs_length_effect,-0.23429765032247254,-0.23429765032247257,-0.23429765032247257,0.0
ER_block20,c,same_ID20_width_wide_minus_length_short,0.4999999999999822,0.49999999999998224,0.49999999999998224,0.0
ER_block20,c,same_ID50_width_narrow_minus_length_long,-0.7342976484520296,-0.7342976484520298,-0.7342976484520298,0.0
ER_block20,c,ID20_mean_minus_ID50_mean,-0.11714882516123627,-0.11714882516123631,-0.11714882516123631,0.0
